,supplier_name,supplier_part_no,customer_name,customer_part_no,manufacture_name,site_db,site,arn_no,asn_no,invoice_no,asn_status,iscanceled,quantity,asn_create_datetime
585995,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,,N000707770,90398209,Normal,0,172800,2022/6/21 9:22
585996,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,,N000709184,90398505,Cancel,1,172800,2022/6/25 16:02
585997,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,,N000730872,90403300,Cancel,1,158400,2022/9/13 17:17
585998,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,,N000743558,90406025,Cancel,1,79200,2022/10/26 8:52
585999,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000607388,N000557951,90362344,Normal,0,115200,2020/11/7 14:16
586000,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000608983,N000559568,90362697,Normal,0,115200,2020/11/13 9:03
586001,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000611058,N000561102,90362944,Normal,0,28800,2020/11/18 14:12
586002,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000614715,N000564132,90363663,Normal,0,28800,2020/11/27 23:13
586003,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000617239,N000566203,90364076,Normal,0,115200,2020/12/5 13:54
586004,9432e0dfbcc51c67af941987da19fe7f,f2d73841e2300896fca284277bfc2e79,d7c9ab1eeb7f99e7bd0f6c79cce0f4f1,2e52134307379f864dabb413f5606ae1,ddafb5a87f20ea6fdf5c12833592c61c,EVMI2CD,CD,A000619776,N000568330,90364412,Normal,0,43200,2020/12/12 14:27
