index,customer_name,customer_part_no,site_db,eta,quantity,time_idx
0,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/1/17,9,0
1,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/1/24,119,1
2,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/1/31,160,2
3,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/2/7,89,3
4,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/2/14,243,4
5,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/2/21,96,5
6,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/2/28,0,6
7,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/3/7,0,7
8,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/3/14,0,8
9,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/3/21,0,9
10,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/3/28,16,10
11,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/4/4,0,11
12,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/4/11,14,12
13,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/4/18,12,13
14,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/4/25,0,14
15,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/5/2,198,15
16,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/5/9,1,16
17,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/5/16,0,17
18,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/5/23,55,18
19,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/5/30,64,19
20,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/6/6,3,20
21,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/6/13,0,21
22,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/6/20,70,22
23,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/6/27,384,23
24,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/7/4,17,24
25,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/7/11,39,25
26,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/7/18,0,26
27,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/7/25,16,27
28,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/8/1,0,28
29,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/8/8,32,29
30,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/8/15,74,30
31,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/8/22,0,31
32,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/8/29,176,32
33,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/9/5,156,33
34,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/9/12,0,34
35,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/9/19,14,35
36,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/9/26,86,36
37,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/10/3,75,37
38,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/10/10,176,38
39,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/10/17,280,39
40,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/10/24,176,40
41,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/10/31,119,41
42,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/11/7,340,42
43,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/11/14,198,43
44,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/11/21,66,44
45,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/11/28,107,45
46,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/12/5,0,46
47,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/12/12,114,47
48,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/12/19,158,48
49,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/1/10,20000,0
50,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/1/17,0,1
51,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/1/24,10000,2
52,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/1/31,0,3
53,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/2/7,0,4
54,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/2/14,50000,5
55,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/2/21,10000,6
56,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/2/28,10000,7
57,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/3/7,1280000,8
58,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/3/14,0,9
59,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/3/21,0,10
60,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/3/28,0,11
61,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/4/4,0,12
62,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/4/11,0,13
63,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/4/18,0,14
64,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/4/25,0,15
65,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/5/2,0,16
66,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/5/9,0,17
67,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/5/16,0,18
68,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/5/23,0,19
69,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/5/30,0,20
70,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/6/6,0,21
71,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/6/13,0,22
72,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/6/20,0,23
73,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/6/27,0,24
74,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/7/4,0,25
75,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/7/11,10000,26
76,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/7/18,10000,27
77,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/7/25,20000,28
78,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/8/1,10000,29
79,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/8/8,10000,30
80,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/8/15,20000,31
81,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/8/22,380000,32
82,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/8/29,0,33
83,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/9/5,10000,34
84,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/9/12,20000,35
85,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/9/19,10000,36
86,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/9/26,10000,37
87,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/10/3,0,38
88,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/10/10,30000,39
89,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/10/17,110000,40
90,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/10/24,150000,41
91,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/10/31,80000,42
92,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/11/7,110000,43
93,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/11/14,220000,44
94,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/11/21,60000,45
95,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/11/28,140000,46
96,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/12/5,20000,47
97,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/12/12,70000,48
98,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/12/19,120000,49
99,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/12/26,10000,50
100,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2023/1/2,80000,51
101,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/1/3,60,0
102,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/1/10,0,1
103,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/1/17,1960,2
104,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/1/24,880,3
105,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/1/31,0,4
106,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/2/7,2320,5
107,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/2/14,3404,6
108,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/2/21,0,7
109,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/2/28,0,8
110,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/3/7,0,9
111,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/3/14,0,10
112,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/3/21,0,11
113,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/3/28,0,12
114,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/4/4,0,13
115,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/4/11,0,14
116,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/4/18,0,15
117,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/4/25,4086,16
118,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/5/2,300,17
119,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/5/9,2310,18
120,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/5/16,0,19
121,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/5/23,0,20
122,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/5/30,0,21
123,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/6/6,0,22
124,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/6/13,0,23
125,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/6/20,0,24
126,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/6/27,2799,25
127,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/7/4,388,26
128,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/7/11,987,27
129,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/7/18,1292,28
130,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/7/25,523,29
131,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/8/1,82,30
132,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/8/8,2106,31
133,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/8/15,4340,32
134,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/8/22,2160,33
135,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/8/29,0,34
136,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/9/5,0,35
137,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/9/12,2590,36
138,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/9/19,200,37
139,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/9/26,3310,38
140,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/10/3,2920,39
141,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/10/10,480,40
142,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/10/17,0,41
143,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/10/24,3860,42
144,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/10/31,500,43
145,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/11/7,1320,44
146,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/11/14,2054,45
147,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/11/21,0,46
148,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/11/28,3071,47
149,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/12/5,1980,48
150,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/12/12,2800,49
151,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/12/19,2100,50
152,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/4/11,2400,0
153,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/4/18,4581,1
154,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/4/25,2153,2
155,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/5/2,945,3
156,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/5/9,466,4
157,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/5/16,400,5
158,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/5/23,0,6
159,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/5/30,300,7
160,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/6/6,488,8
161,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/6/13,1332,9
162,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/6/20,800,10
163,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/6/27,0,11
164,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/7/4,1460,12
165,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/7/11,1900,13
166,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/7/18,960,14
167,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/7/25,850,15
168,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/8/1,1480,16
169,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/8/8,193,17
170,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/8/15,526,18
171,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/8/22,494,19
172,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/8/29,0,20
173,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/9/5,850,21
174,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/9/12,0,22
175,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/9/19,389,23
176,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/9/26,1500,24
177,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/10/3,0,25
178,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/10/10,400,26
179,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/10/17,288,27
180,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/10/24,0,28
181,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/10/31,0,29
182,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/11/7,0,30
183,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/11/14,0,31
184,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/11/21,422,32
185,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/11/28,0,33
186,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/12/5,0,34
187,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/12/12,0,35
188,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/12/19,900,36
189,2e9d0015563e8f6c3614c219c759934c,df1f3c35ef2ee9cf5d0b484c40cd0fc1,EVMI2MKD,2022/12/26,3160,37
190,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/2/14,280000,0
191,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/2/21,0,1
192,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/2/28,0,2
193,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/3/7,1540000,3
194,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/3/14,0,4
195,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/3/21,0,5
196,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/3/28,0,6
197,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/4/4,0,7
198,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/4/11,0,8
199,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/4/18,0,9
200,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/4/25,0,10
201,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/5/2,0,11
202,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/5/9,0,12
203,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/5/16,0,13
204,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/5/23,0,14
205,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/5/30,0,15
206,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/6/6,0,16
207,2e9d0015563e8f6c3614c219c759934c,fcee47203c247adb44436c493e933aa7,EVMI2,2022/6/13,40000,17
