,index,customer_name,customer_part_no,site_db,eta,quantity,time_idx
0,0,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/1/17,9,0
1,1,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/2/14,611,1
2,2,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/3/14,96,2
3,3,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/4/11,30,3
4,4,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/5/9,211,4
5,5,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/6/6,122,5
6,6,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/7/4,471,6
7,7,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/8/1,55,7
8,8,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/8/29,282,8
9,9,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/9/26,256,9
10,10,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/10/24,707,10
11,11,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/11/21,723,11
12,12,2e9d0015563e8f6c3614c219c759934c,8d38afe1b83414573501e8e91c71dbd6,EVMI2JUAREZ,2022/12/19,379,12
13,13,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/1/10,20000,0
14,14,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/2/7,10000,1
15,15,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/3/7,1350000,2
16,16,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/4/4,0,3
17,17,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/5/2,0,4
18,18,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/5/30,0,5
19,19,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/6/27,0,6
20,20,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/7/25,40000,7
21,21,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/8/22,420000,8
22,22,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/9/19,40000,9
23,23,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/10/17,150000,10
24,24,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/11/14,560000,11
25,25,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2022/12/12,290000,12
26,26,2e9d0015563e8f6c3614c219c759934c,db87cd92052e1f1e2299e07a8390b68c,EVMI2,2023/1/9,210000,13
27,27,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/1/3,60,0
28,28,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/1/31,2840,1
29,29,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/2/28,5724,2
30,30,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/3/28,0,3
31,31,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/4/25,4086,4
32,32,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/5/23,2610,5
33,33,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/6/20,0,6
34,34,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/7/18,5466,7
35,35,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/8/15,7051,8
36,36,2e9d0015563e8f6c3614c219c759934c,def378055040440224dd509527cfc1d7,EVMI2JUAREZ,2022/9/12,4750,9
