eta,customer_name,customer_part_no,quantity,time_idx,2_mean,3_mean,4_mean,5_mean,7_mean,14_mean,28_mean,2_max,2_min,4_max,4_min,7_max,7_min,lag
2022/11/1,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,320000,0,160000,253333.3333,390000,384000,422857.1429,465714.2857,507142.8571,320000,0,800000,0,800000,0,0
2022/11/2,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,300000,1,310000,206666.6667,265000,372000,360000,461428.5714,512857.1429,320000,300000,440000,0,800000,0,320000
2022/11/3,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,780000,2,540000,466666.6667,350000,368000,428571.4286,461428.5714,519285.7143,780000,300000,780000,0,800000,0,300000
2022/11/4,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,320000,3,550000,466666.6667,430000,344000,422857.1429,434285.7143,509285.7143,780000,320000,780000,300000,800000,0,780000
2022/11/5,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,620000,4,470000,573333.3333,505000,468000,397142.8571,457142.8571,503571.4286,620000,320000,780000,300000,780000,0,320000
2022/11/6,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,740000,5,680000,560000,615000,552000,440000,464285.7143,503571.4286,740000,620000,780000,320000,780000,0,620000
2022/11/7,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,20000,6,380000,460000,425000,496000,442857.1429,451428.5714,504285.7143,740000,20000,740000,20000,780000,20000,740000
2022/11/8,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,140000,7,80000,300000,380000,368000,417142.8571,420000,485000,140000,20000,740000,20000,780000,20000,20000
2022/11/9,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,390000,8,265000,183333.3333,322500,382000,430000,395000,463571.4286,390000,140000,740000,20000,780000,20000,140000
2022/11/10,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,780000,9,585000,436666.6667,332500,414000,430000,429285.7143,462500,780000,390000,780000,20000,780000,20000,390000
2022/11/11,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,760000,10,770000,643333.3333,517500,418000,492857.1429,457857.1429,461785.7143,780000,760000,780000,140000,780000,20000,780000
2022/11/12,7e0d847c78df7e95d8e8779df7557fbc,74ecba66be4500c370b33e11cb4f2dc9,700000,11,730000,746666.6667,657500,554000,504285.7143,450714.2857,474642.8571,760000,700000,780000,390000,780000,20000,760000
